"","date","zip","num_odor_complaints"
"13725",2021-08-13,92407,1
"13726",2021-08-13,92567,1
"13727",2021-08-13,92570,1
"13728",2021-08-14,90023,2
"13729",2021-08-14,90058,1
"13730",2021-08-14,90063,1
"13731",2021-08-14,90245,11
"13732",2021-08-14,90601,1
"13733",2021-08-14,90604,1
"13734",2021-08-14,90803,1
"13735",2021-08-14,91384,1
"13736",2021-08-14,91754,1
"13737",2021-08-14,91765,1
"13738",2021-08-14,91803,2
"13739",2021-08-14,92585,2
"13740",2021-08-15,90022,1
"13741",2021-08-15,90031,1
"13742",2021-08-15,90032,2
"13743",2021-08-15,90058,3
"13744",2021-08-15,90201,1
"13745",2021-08-15,90245,21
"13746",2021-08-15,90291,1
"13747",2021-08-15,90604,1
"13748",2021-08-15,90814,1
"13749",2021-08-15,91326,1
"13750",2021-08-16,90023,4
"13751",2021-08-16,90046,1
"13752",2021-08-16,90058,2
"13753",2021-08-16,90063,3
"13754",2021-08-16,90069,1
"13755",2021-08-16,90245,15
"13756",2021-08-16,90503,1
"13757",2021-08-16,90504,1
"13758",2021-08-16,90604,2
"13759",2021-08-16,91202,1
"13760",2021-08-16,91342,3
"13761",2021-08-16,91367,1
"13762",2021-08-16,91384,4
"13763",2021-08-16,92880,1
"13764",2021-08-17,90012,1
"13765",2021-08-17,90023,1
"13766",2021-08-17,90046,1
"13767",2021-08-17,90058,1
"13768",2021-08-17,90065,2
"13769",2021-08-17,90232,1
"13770",2021-08-17,90245,14
"13771",2021-08-17,90248,1
"13772",2021-08-17,90277,1
"13773",2021-08-17,90601,1
"13774",2021-08-17,90604,3
"13775",2021-08-17,91017,1
"13776",2021-08-17,91384,3
"13777",2021-08-17,92880,2
"13778",2021-08-18,90023,3
"13779",2021-08-18,90034,1
"13780",2021-08-18,90058,4
"13781",2021-08-18,90063,1
"13782",2021-08-18,90245,13
"13783",2021-08-18,90280,1
"13784",2021-08-18,90604,3
"13785",2021-08-18,90680,1
"13786",2021-08-18,91101,1
